Paso,Posicion_X,Posicion_Y
678,580.056,-96.676
679,581.767,-96.9612
680,583.481,-97.2468
681,585.197,-97.5328
682,586.916,-97.8193
683,588.637,-98.1061
684,590.36,-98.3934
685,592.087,-98.6811
686,593.815,-98.9692
687,595.547,-99.2578
688,597.28,-99.5467
689,599.017,-99.8361
690,600.755,-100.126
691,602.497,-100.416
692,604.241,-100.707
693,605.987,-100.998
694,607.736,-101.289
695,609.487,-101.581
696,611.241,-101.874
697,612.998,-102.166
698,614.757,-102.459
699,616.518,-102.753
700,618.282,-103.047
701,620.049,-103.341
702,621.818,-103.636
703,623.589,-103.932
704,625.363,-104.227
705,627.14,-104.523
706,628.919,-104.82
707,630.701,-105.117
708,632.485,-105.414
709,634.271,-105.712
710,636.061,-106.01
711,637.852,-106.309
712,639.647,-106.608
713,641.443,-106.907
714,643.243,-107.207
715,645.044,-107.507
716,646.849,-107.808
717,648.656,-108.109
718,650.465,-108.411
719,652.277,-108.713
720,654.091,-109.015
721,655.908,-109.318
722,657.728,-109.621
723,659.55,-109.925
724,661.374,-110.229
725,663.201,-110.534
726,665.031,-110.838
727,666.863,-111.144
728,668.697,-111.45
729,670.534,-111.756
730,672.374,-112.062
731,674.216,-112.369
732,676.061,-112.677
733,677.908,-112.985
734,679.757,-113.293
735,681.61,-113.602
736,683.464,-113.911
737,685.322,-114.22
738,687.181,-114.53
739,689.044,-114.841
740,690.908,-115.151
741,692.776,-115.463
742,694.646,-115.774
743,696.518,-116.086
744,698.393,-116.399
745,700.27,-116.712
746,702.15,-117.025
747,704.033,-117.339
748,705.918,-117.653
749,707.805,-117.968
750,709.695,-118.283
751,711.588,-118.598
752,713.483,-118.914
753,715.38,-119.23
754,717.28,-119.547
755,719.183,-119.864
756,721.088,-120.181
757,722.996,-120.499
758,724.906,-120.818
759,726.818,-121.136
760,728.734,-121.456
761,730.651,-121.775
762,732.572,-122.095
763,734.494,-122.416
764,736.42,-122.737
765,738.347,-123.058
766,740.278,-123.38
767,742.211,-123.702
768,744.146,-124.024
769,746.084,-124.347
770,748.024,-124.671
771,749.967,-124.995
772,751.913,-125.319
773,753.861,-125.643
774,755.811,-125.969
775,757.764,-126.294
776,759.72,-126.62
777,761.678,-126.946
778,763.638,-127.273
779,765.601,-127.6
780,767.567,-127.928
781,769.535,-128.256
782,771.506,-128.584
783,773.479,-128.913
784,775.454,-129.242
785,777.433,-129.572
786,779.413,-129.902
787,781.397,-130.233
788,783.382,-130.564
789,785.371,-130.895
790,787.361,-131.227
791,789.355,-131.559
792,791.351,-131.892
793,793.349,-132.225
794,795.35,-132.558
795,797.353,-132.892
796,799.359,-133.227
797,801.368,-133.561
798,803.379,-133.896
799,805.392,-134.232
800,807.408,-134.568
801,809.427,-134.904
802,811.448,-135.241
803,813.471,-135.579
804,815.497,-135.916
805,817.526,-136.254
806,819.557,-136.593
807,821.591,-136.932
808,823.627,-137.271
809,825.665,-137.611
810,827.707,-137.951
811,829.75,-138.292
812,831.797,-138.633
813,833.845,-138.974
814,835.897,-139.316
815,837.95,-139.658
816,840.007,-140.001
817,842.066,-140.344
818,844.127,-140.688
819,846.191,-141.032
820,848.257,-141.376
821,850.326,-141.721
822,852.398,-142.066
823,854.472,-142.412
824,856.548,-142.758
825,858.627,-143.105
826,860.709,-143.451
827,862.793,-143.799
828,864.879,-144.147
829,866.968,-144.495
830,869.06,-144.843
831,871.154,-145.192
832,873.251,-145.542
833,875.35,-145.892
834,877.451,-146.242
835,879.556,-146.593
836,881.662,-146.944
837,883.772,-147.295
838,885.883,-147.647
839,887.998,-148
840,890.114,-148.352
841,892.234,-148.706
842,894.356,-149.059
843,896.48,-149.413
844,898.607,-149.768
845,900.736,-150.123
846,902.868,-150.478
847,905.003,-150.834
848,907.14,-151.19
849,909.279,-151.547
850,911.421,-151.904
851,913.566,-152.261
852,915.713,-152.619
853,917.862,-152.977
854,920.014,-153.336
855,922.169,-153.695
856,924.326,-154.054
857,926.486,-154.414
858,928.648,-154.775
859,930.812,-155.135
860,932.98,-155.497
861,935.149,-155.858
862,937.322,-156.22
863,939.496,-156.583
864,941.674,-156.946
865,943.853,-157.309
866,946.036,-157.673
867,948.221,-158.037
868,950.408,-158.401
869,952.598,-158.766
870,954.79,-159.132
871,956.985,-159.498
872,959.183,-159.864
873,961.383,-160.23
874,963.585,-160.598
875,965.79,-160.965
876,967.998,-161.333
877,970.208,-161.701
878,972.42,-162.07
879,974.635,-162.439
880,976.853,-162.809
881,979.073,-163.179
882,981.296,-163.549
883,983.521,-163.92
884,985.748,-164.291
