Paso,Posicion_X,Posicion_Y,Velocidad_X,Velocidad_Y
419,-78.0765,12.771,-47.565,-1.19
420,-78.5535,12.759,-47.7,-1.2
421,-79.0319,12.7469,-47.835,-1.21
422,-79.5116,12.7347,-47.97,-1.22
423,-79.9926,12.7224,-48.105,-1.23
424,-80.475,12.71,-48.24,-1.24
425,-80.9588,12.6975,-48.375,-1.25
426,-81.4439,12.6849,-48.51,-1.26
427,-81.9303,12.6722,-48.645,-1.27
428,-82.4181,12.6594,-48.78,-1.28
429,-82.9073,12.6465,-48.915,-1.29
430,-83.3978,12.6335,-49.05,-1.3
431,-83.8896,12.6204,-49.185,-1.31
432,-84.3828,12.6072,-49.32,-1.32
433,-84.8774,12.5939,-49.455,-1.33
434,-85.3733,12.5805,-49.59,-1.34
435,-85.8705,12.567,-49.725,-1.35
436,-86.3691,12.5534,-49.86,-1.36
437,-86.8691,12.5397,-49.995,-1.37
438,-87.3704,12.5259,-50.13,-1.38
439,-87.873,12.512,-50.265,-1.39
440,-88.377,12.498,-50.4,-1.4
441,-88.8824,12.4839,-50.535,-1.41
442,-89.3891,12.4697,-50.67,-1.42
443,-89.8971,12.4554,-50.805,-1.43
444,-90.4065,12.441,-50.94,-1.44
445,-90.9173,12.4265,-51.075,-1.45
446,-91.4294,12.4119,-51.21,-1.46
447,-91.9428,12.3972,-51.345,-1.47
448,-92.4576,12.3824,-51.48,-1.48
449,-92.9738,12.3675,-51.615,-1.49
450,-93.4913,12.3525,-51.75,-1.5
451,-94.0101,12.3374,-51.885,-1.51
452,-94.5303,12.3222,-52.02,-1.52
453,-95.0519,12.3069,-52.155,-1.53
454,-95.5748,12.2915,-52.29,-1.54
455,-96.099,12.276,-52.425,-1.55
456,-96.6246,12.2604,-52.56,-1.56
457,-97.1516,12.2447,-52.695,-1.57
458,-97.6799,12.2289,-52.83,-1.58
459,-98.2095,12.213,-52.965,-1.59
460,-98.7405,12.197,-53.1,-1.6
461,-99.2729,12.1809,-53.235,-1.61
462,-99.8066,12.1647,-53.37,-1.62
463,-100.342,12.1484,-53.505,-1.63
464,-100.878,12.132,-53.64,-1.64
465,-101.416,12.1155,-53.775,-1.65
466,-101.955,12.0989,-53.91,-1.66
467,-102.495,12.0822,-54.045,-1.67
468,-103.037,12.0654,-54.18,-1.68
469,-103.58,12.0485,-54.315,-1.69
