Paso,Posicion_X,Posicion_Y,Velocidad_X,Velocidad_Y
950,-4.76022e+13,7.9337e+12,-1.0011e+13,1.6685e+12
951,-4.77024e+13,7.9504e+12,-1.00215e+13,1.67025e+12
952,-4.78027e+13,7.96712e+12,-1.00321e+13,1.67201e+12
953,-4.79032e+13,7.98386e+12,-1.00426e+13,1.67377e+12
954,-4.80037e+13,8.00061e+12,-1.00531e+13,1.67552e+12
955,-4.81043e+13,8.01739e+12,-1.00637e+13,1.67728e+12
956,-4.82051e+13,8.03418e+12,-1.00742e+13,1.67903e+12
957,-4.83059e+13,8.05099e+12,-1.00847e+13,1.68079e+12
958,-4.84069e+13,8.06781e+12,-1.00953e+13,1.68255e+12
959,-4.85079e+13,8.08465e+12,-1.01058e+13,1.6843e+12
960,-4.86091e+13,8.10151e+12,-1.01164e+13,1.68606e+12
961,-4.87104e+13,8.11839e+12,-1.01269e+13,1.68782e+12
962,-4.88117e+13,8.13529e+12,-1.01374e+13,1.68957e+12
963,-4.89132e+13,8.1522e+12,-1.0148e+13,1.69133e+12
964,-4.90148e+13,8.16913e+12,-1.01585e+13,1.69308e+12
965,-4.91165e+13,8.18608e+12,-1.0169e+13,1.69484e+12
966,-4.92183e+13,8.20305e+12,-1.01796e+13,1.6966e+12
967,-4.93202e+13,8.22003e+12,-1.01901e+13,1.69835e+12
968,-4.94222e+13,8.23703e+12,-1.02007e+13,1.70011e+12
969,-4.95243e+13,8.25405e+12,-1.02112e+13,1.70187e+12
970,-4.96265e+13,8.27109e+12,-1.02217e+13,1.70362e+12
971,-4.97288e+13,8.28814e+12,-1.02323e+13,1.70538e+12
972,-4.98313e+13,8.30521e+12,-1.02428e+13,1.70714e+12
973,-4.99338e+13,8.3223e+12,-1.02533e+13,1.70889e+12
974,-5.00364e+13,8.33941e+12,-1.02639e+13,1.71065e+12
975,-5.01392e+13,8.35653e+12,-1.02744e+13,1.7124e+12
976,-5.0242e+13,8.37367e+12,-1.0285e+13,1.71416e+12
977,-5.0345e+13,8.39083e+12,-1.02955e+13,1.71592e+12
978,-5.04481e+13,8.40801e+12,-1.0306e+13,1.71767e+12
979,-5.05512e+13,8.4252e+12,-1.03166e+13,1.71943e+12
980,-5.06545e+13,8.44241e+12,-1.03271e+13,1.72119e+12
981,-5.07579e+13,8.45964e+12,-1.03377e+13,1.72294e+12
982,-5.08613e+13,8.47689e+12,-1.03482e+13,1.7247e+12
983,-5.09649e+13,8.49416e+12,-1.03587e+13,1.72645e+12
984,-5.10686e+13,8.51144e+12,-1.03693e+13,1.72821e+12
985,-5.11724e+13,8.52874e+12,-1.03798e+13,1.72997e+12
986,-5.12763e+13,8.54605e+12,-1.03903e+13,1.73172e+12
987,-5.13803e+13,8.56339e+12,-1.04009e+13,1.73348e+12
988,-5.14845e+13,8.58074e+12,-1.04114e+13,1.73524e+12
989,-5.15887e+13,8.59811e+12,-1.0422e+13,1.73699e+12
990,-5.1693e+13,8.6155e+12,-1.04325e+13,1.73875e+12
991,-5.17974e+13,8.6329e+12,-1.0443e+13,1.7405e+12
992,-5.1902e+13,8.65033e+12,-1.04536e+13,1.74226e+12
993,-5.20066e+13,8.66777e+12,-1.04641e+13,1.74402e+12
994,-5.21114e+13,8.68523e+12,-1.04746e+13,1.74577e+12
995,-5.22162e+13,8.7027e+12,-1.04852e+13,1.74753e+12
996,-5.23212e+13,8.72019e+12,-1.04957e+13,1.74929e+12
997,-5.24262e+13,8.7377e+12,-1.05063e+13,1.75104e+12
998,-5.25314e+13,8.75523e+12,-1.05168e+13,1.7528e+12
999,-5.26367e+13,8.77278e+12,-1.05273e+13,1.75456e+12
1000,-5.2742e+13,8.79034e+12,-1.05379e+13,1.75631e+12
1001,-5.28475e+13,8.80792e+12,-1.05484e+13,1.75807e+12
1002,-5.29531e+13,8.82552e+12,-1.05589e+13,1.75982e+12
1003,-5.30588e+13,8.84314e+12,-1.05695e+13,1.76158e+12
1004,-5.31646e+13,8.86077e+12,-1.058e+13,1.76334e+12
1005,-5.32705e+13,8.87842e+12,-1.05906e+13,1.76509e+12
1006,-5.33765e+13,8.89609e+12,-1.06011e+13,1.76685e+12
1007,-5.34826e+13,8.91377e+12,-1.06116e+13,1.76861e+12
1008,-5.35889e+13,8.93148e+12,-1.06222e+13,1.77036e+12
1009,-5.36952e+13,8.9492e+12,-1.06327e+13,1.77212e+12
1010,-5.38016e+13,8.96694e+12,-1.06432e+13,1.77387e+12
1011,-5.39082e+13,8.98469e+12,-1.06538e+13,1.77563e+12
1012,-5.40148e+13,9.00247e+12,-1.06643e+13,1.77739e+12
1013,-5.41216e+13,9.02026e+12,-1.06749e+13,1.77914e+12
1014,-5.42284e+13,9.03807e+12,-1.06854e+13,1.7809e+12
1015,-5.43354e+13,9.05589e+12,-1.06959e+13,1.78266e+12
1016,-5.44424e+13,9.07374e+12,-1.07065e+13,1.78441e+12
1017,-5.45496e+13,9.0916e+12,-1.0717e+13,1.78617e+12
1018,-5.46569e+13,9.10948e+12,-1.07276e+13,1.78793e+12
1019,-5.47643e+13,9.12738e+12,-1.07381e+13,1.78968e+12
1020,-5.48717e+13,9.14529e+12,-1.07486e+13,1.79144e+12
1021,-5.49793e+13,9.16322e+12,-1.07592e+13,1.79319e+12
1022,-5.5087e+13,9.18117e+12,-1.07697e+13,1.79495e+12
1023,-5.51948e+13,9.19914e+12,-1.07802e+13,1.79671e+12
1024,-5.53027e+13,9.21712e+12,-1.07908e+13,1.79846e+12
1025,-5.54108e+13,9.23513e+12,-1.08013e+13,1.80022e+12
1026,-5.55189e+13,9.25315e+12,-1.08119e+13,1.80198e+12
1027,-5.56271e+13,9.27118e+12,-1.08224e+13,1.80373e+12
1028,-5.57354e+13,9.28924e+12,-1.08329e+13,1.80549e+12
1029,-5.58439e+13,9.30731e+12,-1.08435e+13,1.80724e+12
1030,-5.59524e+13,9.3254e+12,-1.0854e+13,1.809e+12
